"年度","縣市","機動車輛登記數","小客車登記數","小貨車登記數","機車登記數","汽車登記數","每千人持有車輛數(年底)-小客車","每千人持有車輛數(年底)-機車","車輛成長率-小客車","車輛成長率-機車","每汽車享有道路面積","領有汽車駕照人數","領有機車駕照人數","觀光旅館家數","觀光旅館房間數","觀光旅館平均房價","觀光旅館住用率"
2001, 基隆市,230861.000000,65427.000000,5794.000000,155638.000000,75223.000000,167.347033,398.085767,2.298419,2.872591,0.039190,-,-,-,-,-,-
2001, 新竹市,320168.000000,93747.000000,10079.000000,212036.000000,108132.000000,251.133149,568.010372,2.971156,2.523487,0.042272,-,-,-,-,-,-
2001, 嘉義市,236744.000000,58020.000000,7687.000000,167066.000000,69678.000000,216.498192,623.396880,2.675727,1.370079,0.148784,-,-,-,-,-,-
2001, 金門縣,38305.000000,9519.000000,1474.000000,26512.000000,11793.000000,167.123143,465.465782,0.506810,5.210524,-,-,-,-,-,-,-
2001, 連江縣,4241.000000,1106.000000,217.000000,2687.000000,1554.000000,124.957632,303.581516,29.964747,14.243197,-,-,-,-,-,-,-
2002, 總計,17906957.000000,4989336.000000,700978.000000,11983757.000000,5923200.000000,221.543698,532.120074,3.393477,2.135436,-,-,-,-,-,-,-
2002, 臺灣地區,17861379.000000,4977552.000000,699175.000000,11952876.000000,5908503.000000,221.686824,532.349059,3.376895,2.126392,0.068137,-,-,-,-,-,-
2002, 新北市,2643722.000000,708351.000000,81449.000000,1827561.000000,816161.000000,194.524648,501.877825,3.185061,2.890348,0.034757,-,-,-,-,-,-
2002, 臺北市,1649219.000000,606839.000000,50647.000000,971568.000000,677651.000000,229.701770,367.759636,1.884610,0.144202,0.030173,-,-,-,-,-,-
2002, 桃園市,1336067.000000,441814.000000,52091.000000,820287.000000,515780.000000,246.465057,457.595463,3.138168,1.967787,0.043313,-,-,-,-,-,-
2002, 臺中市,2087172.000000,641931.000000,92541.000000,1321201.000000,765971.000000,255.902842,526.690705,3.980349,3.016417,0.068194,-,-,-,-,-,-
2002, 臺南市,1612494.000000,416240.000000,59852.000000,1118006.000000,494488.000000,224.671068,603.458587,4.186065,2.350665,0.097410,-,-,-,-,-,-
2002, 高雄市,2523833.000000,591555.000000,72438.000000,1826192.000000,697641.000000,215.667331,665.787550,2.126591,2.696714,0.079433,-,-,-,-,-,-
2002, 宜蘭縣,369117.000000,95254.000000,15660.000000,253035.000000,116082.000000,205.241464,545.208325,4.012929,1.086227,0.106313,-,-,-,-,-,-
2002, 新竹縣,349545.000000,119881.000000,15180.000000,209199.000000,140346.000000,264.825627,462.135420,4.116692,1.984614,0.066593,-,-,-,-,-,-
2002, 苗栗縣,460432.000000,135824.000000,20932.000000,296465.000000,163967.000000,242.211546,528.678629,2.380414,0.552511,0.082663,-,-,-,-,-,-
2002, 彰化縣,1137532.000000,293385.000000,58705.000000,770454.000000,367078.000000,222.906611,585.371747,3.783663,2.324315,0.048494,-,-,-,-,-,-
2002, 南投縣,456352.000000,128450.000000,27667.000000,294287.000000,162065.000000,237.302602,543.675133,3.939085,1.310938,0.117866,-,-,-,-,-,-
2002, 雲林縣,609707.000000,152637.000000,33929.000000,414627.000000,195080.000000,205.489521,558.196923,4.802873,0.399781,0.095551,-,-,-,-,-,-
2002, 嘉義縣,459468.000000,115183.000000,27599.000000,311349.000000,148119.000000,204.808373,553.613659,4.730860,1.242159,0.114084,-,-,-,-,-,-
2002, 屏東縣,784029.000000,169849.000000,37051.000000,569482.000000,214547.000000,187.434478,628.443860,4.390769,3.378656,0.118515,-,-,-,-,-,-
2002, 臺東縣,203957.000000,42525.000000,11407.000000,147657.000000,56300.000000,174.307790,605.238456,5.400783,2.332077,0.170497,-,-,-,-,-,-
2002, 花蓮縣,303127.000000,78256.000000,15284.000000,205681.000000,97446.000000,222.220960,584.065494,5.537424,1.286262,0.127886,-,-,-,-,-,-
2002, 澎湖縣,71767.000000,13954.000000,2615.000000,54258.000000,17509.000000,150.942172,586.915605,9.874016,2.596199,0.121709,-,-,-,-,-,-
2002, 基隆市,238406.000000,68836.000000,6085.000000,159418.000000,78988.000000,175.848767,407.249968,5.210387,2.428713,0.038183,-,-,-,-,-,-
2002, 新竹市,323076.000000,96324.000000,10007.000000,212397.000000,110679.000000,254.289237,560.714578,2.748888,0.170254,0.042854,-,-,-,-,-,-
2002, 嘉義市,242357.000000,60464.000000,8036.000000,169752.000000,72605.000000,225.690258,633.622862,4.212341,1.607748,0.145362,-,-,-,-,-,-
2002, 金門縣,41031.000000,10678.000000,1586.000000,27888.000000,13143.000000,181.188808,473.215346,12.175649,5.190103,-,-,-,-,-,-,-
2002, 連江縣,4547.000000,1106.000000,217.000000,2993.000000,1554.000000,126.212484,341.549698,-,11.388165,-,-,-,-,-,-,-
2003, 總計,18500658.000000,5169733.000000,728624.000000,12366864.000000,6133794.000000,228.703204,547.096226,3.615651,3.196886,-,-,-,-,-,-,-
2003, 臺灣地區,18452827.000000,5156760.000000,726796.000000,12334830.000000,6117997.000000,228.835797,547.369018,3.600324,3.195499,0.066694,-,-,-,-,-,-
2003, 新北市,2744671.000000,730852.000000,83005.000000,1903849.000000,840822.000000,198.788369,517.838137,3.176533,4.174307,0.034764,-,-,-,-,-,-
2003, 臺北市,1688726.000000,622195.000000,52062.000000,994336.000000,694390.000000,236.833771,378.486399,2.530490,2.343428,0.029528,-,-,-,-,-,-
2003, 桃園市,1386908.000000,462010.000000,53901.000000,848810.000000,538098.000000,253.562559,465.848003,4.571154,3.477198,0.041643,-,-,-,-,-,-
2003, 臺中市,2159878.000000,666847.000000,96773.000000,1364348.000000,795530.000000,263.600582,539.318505,3.881414,3.265741,0.066082,-,-,-,-,-,-
2003, 臺南市,1672296.000000,432078.000000,62548.000000,1159340.000000,512956.000000,232.742837,624.489284,3.805016,3.697118,0.094425,-,-,-,-,-,-
2003, 高雄市,2615301.000000,612484.000000,76335.000000,1892251.000000,723050.000000,222.979381,688.888128,3.537964,3.617309,0.076861,-,-,-,-,-,-
2003, 宜蘭縣,378520.000000,97847.000000,16113.000000,259251.000000,119269.000000,211.202607,559.592907,2.722195,2.456577,0.103908,-,-,-,-,-,-
2003, 新竹縣,360689.000000,125044.000000,15824.000000,214458.000000,146231.000000,272.256781,466.936796,4.306771,2.513874,0.065602,-,-,-,-,-,-
2003, 苗栗縣,465439.000000,140187.000000,21190.000000,296970.000000,168469.000000,249.930915,529.449834,3.212245,0.170341,0.081795,-,-,-,-,-,-
2003, 彰化縣,1170940.000000,304700.000000,61708.000000,789301.000000,381639.000000,231.457040,599.570965,3.856707,2.446220,0.047569,-,-,-,-,-,-
2003, 南投縣,468570.000000,132901.000000,28994.000000,300801.000000,167769.000000,245.932157,556.629663,3.465162,2.213485,0.118729,-,-,-,-,-,-
2003, 雲林縣,626661.000000,158116.000000,35441.000000,424385.000000,202276.000000,213.525708,573.105236,3.589562,2.353441,0.095909,-,-,-,-,-,-
2003, 嘉義縣,472891.000000,119988.000000,28770.000000,318770.000000,154121.000000,214.107528,568.815689,4.171623,2.383499,0.110939,-,-,-,-,-,-
2003, 屏東縣,815265.000000,177076.000000,38973.000000,591341.000000,223924.000000,195.929947,654.303298,4.254956,3.838401,0.114932,-,-,-,-,-,-
2003, 臺東縣,211880.000000,44446.000000,11899.000000,153089.000000,58791.000000,183.024353,630.405778,4.517343,3.678796,0.164243,-,-,-,-,-,-
2003, 花蓮縣,312009.000000,80237.000000,15592.000000,212295.000000,99714.000000,228.500396,604.577583,2.531435,3.215659,0.130092,-,-,-,-,-,-
2003, 澎湖縣,74429.000000,14644.000000,2734.000000,56114.000000,18315.000000,158.737385,608.262062,4.944819,3.420694,0.116353,-,-,-,-,-,-
2003, 基隆市,247170.000000,71628.000000,6251.000000,165186.000000,81984.000000,182.611755,421.132872,4.056017,3.618161,0.036788,-,-,-,-,-,-
2003, 新竹市,331249.000000,100562.000000,10297.000000,215975.000000,115274.000000,262.634599,564.055085,4.399734,1.684581,0.041510,-,-,-,-,-,-
2003, 嘉義市,249335.000000,62918.000000,8386.000000,173960.000000,75375.000000,233.380565,645.266586,4.058613,2.478910,0.141705,-,-,-,-,-,-
2003, 金門縣,42526.000000,11498.000000,1579.000000,28647.000000,13879.000000,188.544348,469.753866,7.679341,2.721601,-,-,-,-,-,-,-
2003, 連江縣,5305.000000,1475.000000,249.000000,3387.000000,1918.000000,167.499432,384.624120,33.363472,13.164049,-,-,-,-,-,-,-
2004, 總計,19183136.000000,5390848.000000,758809.000000,12793950.000000,6389186.000000,237.596148,563.880348,4.277107,3.453470,-,-,-,-,-,-,-
2004, 臺灣地區,19132734.000000,5376886.000000,756774.000000,12760727.000000,6372007.000000,237.754279,564.251770,4.268688,3.452800,0.061651,-,-,-,-,-,-
2004, 新北市,2836912.000000,746816.000000,84181.000000,1978602.000000,858310.000000,201.401311,533.589314,2.184300,3.926414,0.034795,-,-,-,-,-,-
2004, 臺北市,1726699.000000,635189.000000,53339.000000,1018384.000000,708315.000000,242.210022,388.329790,2.088413,2.418498,0.028043,-,-,-,-,-,-
2004, 桃園市,1455255.000000,489546.000000,56998.000000,885352.000000,569903.000000,264.186907,477.786370,5.960044,4.305086,0.039480,-,-,-,-,-,-
2004, 臺中市,2249468.000000,700586.000000,101133.000000,1415326.000000,834142.000000,274.919437,555.393096,5.059481,3.736437,0.064067,-,-,-,-,-,-
2004, 臺南市,1740526.000000,453870.000000,66230.000000,1201867.000000,538659.000000,243.938620,645.959805,5.043534,3.668208,0.090993,-,-,-,-,-,-
2004, 高雄市,2721687.000000,639735.000000,80503.000000,1966609.000000,755078.000000,232.495470,714.714192,4.449259,3.929606,0.052307,-,-,-,-,-,-
