"年度","縣市","身心障礙人數","身心障礙人口占全縣(市)總人口比率","身心障礙福利機構核定安置服務人數","身心障礙福利機構實際安置服務人數","身心障礙福利機構核定安置住宿及日托人數占身心障礙人數比率","身心障礙福利機構實際安置住宿及日托人數占身心障礙人數比率","公立機構定額已進用身心障礙者人數","公立機構定額應進用身心障礙者人數","私立機構定額已進用身心障礙者人數","私立機構定額應進用身心障礙者人數","機關定額已進用身心障礙者人數占定額應進用人數比率","公立機構定額已進用身心障礙者人數占定額應進用人數比率","私立機構定額已進用身心障礙者人數占定額應進用人數比率"
2003, 臺東縣,18137.000000,7.470000,182.000000,124.000000,100.347356,68.368528,412.000000,164.000000,101.000000,34.000000,259.090909,251.219512,297.058824
2003, 花蓮縣,23094.000000,6.580000,545.000000,412.000000,235.992033,178.401316,604.000000,289.000000,145.000000,78.000000,204.087193,208.996540,185.897436
2003, 澎湖縣,4008.000000,4.340000,90.000000,53.000000,224.550898,132.235529,77.000000,57.000000,4.000000,3.000000,135.000000,135.087719,133.333333
2003, 基隆市,14514.000000,3.700000,190.000000,204.000000,130.908089,140.553948,461.000000,303.000000,125.000000,69.000000,157.526882,152.145215,181.159420
2003, 新竹市,12049.000000,3.150000,410.000000,346.000000,340.277201,287.160760,468.000000,324.000000,564.000000,781.000000,93.393665,144.444444,72.215109
2003, 嘉義市,12216.000000,4.530000,181.000000,113.000000,148.166339,92.501637,492.000000,295.000000,171.000000,78.000000,177.747989,166.779661,219.230769
2003, 金門縣,3524.000000,5.780000,-,-,-,-,152.000000,64.000000,-,-,237.500000,237.500000,-
2003, 連江縣,243.000000,2.760000,-,-,-,-,3.000000,3.000000,-,-,100.000000,100.000000,-
2004, 總計,908719.000000,4.010000,20036.000000,15582.000000,220.486201,171.472149,19740.000000,13687.000000,27308.000000,20723.000000,136.727695,144.224447,131.776287
2004, 臺灣地區,904530.000000,4.000000,15509.000000,11823.000000,171.459211,130.708766,19588.000000,13626.000000,27308.000000,20723.000000,136.527992,143.754587,131.776287
2004, 新北市,105858.000000,2.850000,2308.000000,1620.000000,218.027924,153.035198,1818.000000,1330.000000,3080.000000,2105.000000,142.590975,136.691729,146.318290
2004, 臺北市,111338.000000,4.250000,2142.000000,1978.000000,192.387145,177.657224,4925.000000,3703.000000,8932.000000,7353.000000,125.334660,133.000270,121.474228
2004, 桃園市,55819.000000,3.010000,1060.000000,853.000000,189.899497,152.815350,1113.000000,918.000000,2939.000000,2683.000000,112.524299,121.241830,109.541558
2004, 臺中市,89673.000000,3.520000,1674.000000,972.000000,186.678264,108.393831,1997.000000,1496.000000,2377.000000,1500.000000,145.994660,133.489305,158.466667
2004, 臺南市,72134.000000,3.880000,2004.000000,1494.000000,277.816286,207.114537,1307.000000,878.000000,1883.000000,1259.000000,149.274684,148.861048,149.563145
2004, 高雄市,101307.000000,3.680000,1360.000000,1028.000000,134.245412,101.473738,2396.000000,1713.000000,2974.000000,1870.000000,149.874407,139.871570,159.037433
2004, 宜蘭縣,22497.000000,4.870000,402.000000,367.000000,178.690492,163.132862,465.000000,266.000000,193.000000,90.000000,184.831461,174.812030,214.444444
2004, 新竹縣,19089.000000,4.090000,323.000000,319.000000,169.207397,167.111949,227.000000,150.000000,936.000000,1099.000000,93.114492,151.333333,85.168335
2004, 苗栗縣,25932.000000,4.630000,703.000000,502.000000,271.093629,193.583218,366.000000,268.000000,449.000000,287.000000,146.846847,136.567164,156.445993
2004, 彰化縣,52885.000000,4.020000,877.000000,560.000000,165.831521,105.890139,621.000000,414.000000,897.000000,533.000000,160.295671,150.000000,168.292683
2004, 南投縣,29364.000000,5.450000,245.000000,121.000000,83.435499,41.206920,519.000000,312.000000,313.000000,141.000000,183.664459,166.346154,221.985816
2004, 雲林縣,48566.000000,6.590000,50.000000,31.000000,10.295268,6.383066,478.000000,253.000000,454.000000,302.000000,167.927928,188.932806,150.331126
2004, 嘉義縣,33885.000000,6.070000,202.000000,197.000000,59.613398,58.137819,347.000000,161.000000,338.000000,188.000000,196.275072,215.527950,179.787234
2004, 屏東縣,46960.000000,5.220000,380.000000,319.000000,80.919932,67.930153,609.000000,373.000000,331.000000,152.000000,179.047619,163.270777,217.763158
2004, 臺東縣,19890.000000,8.270000,132.000000,98.000000,66.365008,49.270990,345.000000,147.000000,103.000000,38.000000,242.162162,234.693878,271.052632
2004, 花蓮縣,24392.000000,6.990000,546.000000,402.000000,223.843883,164.808134,610.000000,274.000000,160.000000,90.000000,211.538462,222.627737,177.777778
2004, 澎湖縣,5244.000000,5.710000,90.000000,53.000000,171.624714,101.067887,128.000000,81.000000,1.000000,1.000000,157.317073,158.024691,100.000000
