"年度","縣市","低收入戶人口數","低收入戶人口數占該縣(市)人口比率","急難救助人次","急難救助金額","接受急難救助平均每一人次金額","急難救助金額占總決算比率","醫療補助人次","醫療補助金額","接受醫療補助平均每一人次金額","醫療補助金額占該縣(市)總決算比率","災害救助受災人數","災害救助金額","災害救助金額占總決算比率"
2004, 臺灣地區,203398.000000,0.900000,36027.000000,233498168.000000,6481.199323,0.032423,12144.000000,105182197.000000,8661.248106,0.014605,7982.000000,662636598.000000,0.092011
2004, 新北市,22396.000000,0.600000,5459.000000,29933405.000000,5483.312878,0.036376,273.000000,5299098.000000,19410.615385,0.006440,35.000000,355790000.000000,0.432370
2004, 臺北市,40184.000000,1.530000,1727.000000,9218889.000000,5338.094383,0.007059,8815.000000,62018054.000000,7035.513783,0.047489,166.000000,16980000.000000,0.013002
2004, 桃園市,8122.000000,0.440000,3586.000000,20757792.000000,5788.564417,0.047940,13.000000,630190.000000,48476.153846,0.001455,895.000000,32916293.000000,0.076020
2004, 臺中市,10275.000000,0.400000,1942.000000,15737913.000000,8103.971679,0.024767,66.000000,3297102.000000,49956.090909,0.005189,5634.000000,101207000.000000,0.159273
2004, 臺南市,9678.000000,0.520000,2890.000000,14895295.000000,5154.081315,0.029103,233.000000,2861363.000000,12280.527897,0.005591,22.000000,6170000.000000,0.012055
2004, 高雄市,23391.000000,0.850000,4952.000000,22640591.000000,4572.009491,0.020687,770.000000,2476957.000000,3216.827273,0.002263,13.000000,10575492.000000,0.009663
2004, 宜蘭縣,6462.000000,1.400000,866.000000,3163020.000000,3652.448037,0.018276,16.000000,317635.000000,19852.187500,0.001835,8.000000,5005000.000000,0.028918
2004, 新竹縣,2722.000000,0.580000,455.000000,4109828.000000,9032.589011,0.023453,28.000000,259478.000000,9267.071429,0.001481,29.000000,12842813.000000,0.073289
2004, 苗栗縣,4043.000000,0.720000,592.000000,2323562.000000,3924.935811,0.012877,16.000000,216718.000000,13544.875000,0.001201,1042.000000,11450000.000000,0.063456
2004, 彰化縣,8388.000000,0.640000,1631.000000,9560790.000000,5861.919068,0.033279,740.000000,13526981.000000,18279.704054,0.047084,5.000000,6260000.000000,0.021789
2004, 南投縣,7819.000000,1.450000,1047.000000,11580100.000000,11060.267431,0.059732,306.000000,2913197.000000,9520.251634,0.015027,20.000000,12700000.000000,0.065509
2004, 雲林縣,9687.000000,1.310000,626.000000,6220000.000000,9936.102236,0.027224,71.000000,1901102.000000,26776.084507,0.008321,5.000000,1535000.000000,0.006719
2004, 嘉義縣,4939.000000,0.890000,240.000000,1928777.000000,8036.570833,0.011006,216.000000,1957359.000000,9061.847222,0.011169,10.000000,44720000.000000,0.255188
2004, 屏東縣,14464.000000,1.610000,1429.000000,6171230.000000,4318.565430,0.024793,33.000000,339728.000000,10294.787879,0.001365,8.000000,2100000.000000,0.008437
