"年度","縣市","就業者從業身分結構-自營作業者","就業者從業身分結構-雇主","就業者從業身分結構-受僱者","就業者從業身分結構-無酬家屬工作者"
2009, 臺東縣,21.490000,2.850000,65.700000,9.960000
2009, 花蓮縣,18.050000,3.970000,72.250000,5.720000
2009, 澎湖縣,12.070000,4.700000,79.070000,4.160000
2009, 基隆市,10.240000,3.330000,82.400000,4.040000
2009, 新竹市,8.450000,5.300000,82.540000,3.710000
2009, 嘉義市,11.760000,5.330000,76.420000,6.490000
2009, 金門縣,19.280000,2.590000,72.850000,5.280000
2009, 連江縣,18.200000,3.010000,75.470000,3.320000
2010, 總計,-,-,-,-
2010, 臺灣地區,12.670000,4.530000,77.230000,5.580000
2010, 新北市,8.830000,4.640000,83.030000,3.490000
2010, 臺北市,7.920000,6.140000,83.300000,2.630000
2010, 桃園市,8.480000,4.500000,83.920000,3.110000
2010, 臺中市,13.640000,5.060000,73.120000,8.180000
2010, 臺南市,14.210000,4.140000,75.370000,6.280000
2010, 高雄市,12.270000,4.830000,77.500000,5.400000
2010, 宜蘭縣,14.850000,4.520000,73.680000,6.940000
2010, 新竹縣,12.110000,3.610000,81.110000,3.160000
2010, 苗栗縣,13.940000,3.510000,76.520000,6.020000
2010, 彰化縣,17.250000,4.510000,70.500000,7.740000
2010, 南投縣,21.430000,2.770000,65.100000,10.690000
2010, 雲林縣,23.350000,2.500000,62.780000,11.370000
2010, 嘉義縣,24.720000,3.130000,60.800000,11.350000
2010, 屏東縣,19.140000,2.400000,72.160000,6.300000
2010, 臺東縣,18.790000,3.750000,69.060000,8.400000
2010, 花蓮縣,15.900000,4.640000,73.950000,5.510000
2010, 澎湖縣,13.200000,5.810000,76.360000,4.630000
2010, 基隆市,9.190000,3.880000,83.050000,3.880000
2010, 新竹市,7.980000,4.760000,83.390000,3.870000
2010, 嘉義市,10.850000,5.200000,77.490000,6.460000
2010, 金門縣,18.560000,2.950000,72.780000,5.710000
2010, 連江縣,17.110000,2.900000,77.150000,2.830000
2011, 總計,-,-,-,-
2011, 臺灣地區,12.360000,4.480000,77.770000,5.390000
2011, 新北市,8.560000,4.450000,83.760000,3.230000
2011, 臺北市,7.910000,6.210000,83.200000,2.690000
