"年度","縣市","漁戶數","遠洋漁戶數","近海漁戶數","沿岸漁戶數","海面養殖漁戶數","內陸漁撈漁戶數","內陸養殖漁戶數","漁業生產量","遠洋漁業生產量","近海漁業生產量","沿岸漁業生產量","海面養殖漁業生產量","內陸漁撈漁業生產量","內陸養殖漁業生產量","漁戶率","遠洋漁戶數占總漁戶數比率","近海漁戶數占總漁戶數比率","沿岸漁戶數占總漁戶數比率","海面養殖漁戶數占總漁戶數比率","內陸漁撈漁戶數占總漁戶數比率","內陸養殖漁戶數占總漁戶數比率","遠洋漁業生產量占總漁業生產量比率","近海漁業生產量占總漁業生產量比率","沿岸漁業生產量占總漁業生產量比率","海面養殖漁業生產量占總漁業生產量比率","內陸漁撈漁業生產量占總漁業生產量比率","內陸養殖漁業生產量占總漁業生產量比率"
2001, 屏東縣,12893.000000,216.000000,4255.000000,3299.000000,22.000000,-,5101.000000,58900.000000,22974.000000,6630.000000,2185.000000,2181.000000,-,24930.000000,5.121696,1.675328,33.002404,25.587528,0.170635,-,39.564105,39.005093,11.256367,3.709677,3.702886,-,42.325976
2001, 臺東縣,3974.000000,93.000000,686.000000,3073.000000,1.000000,-,121.000000,8971.000000,-,4220.000000,3858.000000,25.000000,-,868.000000,5.387306,2.340211,17.262204,77.327630,0.025164,-,3.044791,-,47.040464,43.005239,0.278676,-,9.675621
2001, 花蓮縣,1070.000000,3.000000,168.000000,302.000000,1.000000,3.000000,593.000000,4508.000000,-,2263.000000,1265.000000,-,-,980.000000,0.991944,0.280374,15.700935,28.224299,0.093458,0.280374,55.420561,-,50.199645,28.061224,-,-,21.739130
2001, 澎湖縣,8010.000000,178.000000,6432.000000,1255.000000,76.000000,-,69.000000,24216.000000,-,15984.000000,4702.000000,3530.000000,-,-,28.343949,2.222222,80.299625,15.667915,0.948814,-,0.861423,-,66.005946,19.416914,14.577139,-,-
2001, 基隆市,3807.000000,900.000000,2552.000000,355.000000,-,-,-,56591.000000,33205.000000,18497.000000,4889.000000,-,-,-,2.879815,23.640662,67.034410,9.324928,-,-,-,58.675408,32.685409,8.639183,-,-,-
2001, 新竹市,2234.000000,-,874.000000,530.000000,717.000000,-,113.000000,26941.000000,-,21231.000000,5577.000000,84.000000,-,49.000000,1.939758,-,39.122650,23.724261,32.094897,-,5.058192,-,78.805538,20.700791,0.311792,-,0.181879
2001, 嘉義市,1.000000,-,-,-,-,-,1.000000,1.000000,-,-,-,-,-,1.000000,0.001231,-,-,-,-,-,100.000000,-,-,-,-,-,100.000000
2001, 金門縣,2610.000000,-,405.000000,1701.000000,504.000000,-,-,909.000000,-,340.000000,310.000000,242.000000,-,17.000000,14.076151,-,15.517241,65.172414,19.310345,-,-,-,37.403740,34.103410,26.622662,-,1.870187
2001, 連江縣,475.000000,-,232.000000,234.000000,9.000000,-,-,927.000000,-,554.000000,326.000000,47.000000,-,-,30.235519,-,48.842105,49.263158,1.894737,-,-,-,59.762675,35.167206,5.070119,-,-
2002, 總計,137397.000000,7141.000000,35049.000000,55163.000000,6059.000000,2538.000000,31447.000000,852471.000000,269263.000000,185938.000000,49669.000000,29037.000000,609.000000,317952.000000,1.984067,5.197348,25.509291,40.148620,4.409849,1.847202,22.887690,31.586177,21.811651,5.826474,3.406216,0.071439,37.297691
2002, 臺灣地區,134059.000000,7141.000000,34144.000000,53291.000000,5498.000000,2538.000000,31447.000000,850822.000000,269263.000000,185029.000000,49252.000000,28730.000000,609.000000,317937.000000,1.941627,5.326759,25.469383,39.751900,4.101179,1.893196,23.457582,31.647395,21.747087,5.788755,3.376734,0.071578,37.368216
2002, 新北市,10671.000000,-,3021.000000,7553.000000,70.000000,2.000000,25.000000,36693.000000,-,25868.000000,10434.000000,-,-,390.000000,0.896137,-,28.310374,70.780620,0.655984,0.018742,0.234280,-,70.498460,28.435941,-,-,1.062873
2002, 臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
