"年度","縣市","社會福利工作人員數","社會福利工作人員占全縣(市)人口比率","志願服務隊員人數","志工志願服務時數","志工人數占15歲以上人口比率","每位志工一年內提供服務時數"
2006, 彰化縣,1119.000000,8.509286,2844.000000,418650.000000,0.265907,137.600657
2006, 南投縣,461.000000,8.613522,3408.000000,188188.000000,0.773294,52.180230
2006, 雲林縣,891.000000,12.230779,3773.000000,426628.000000,0.626682,121.321769
2006, 嘉義縣,502.000000,9.063973,2869.000000,304855.000000,0.621222,122.678068
2006, 屏東縣,495.000000,5.539738,2537.000000,203799.000000,0.343444,82.946276
2006, 臺東縣,363.000000,15.384159,4955.000000,83996.000000,2.550666,28.934206
2006, 花蓮縣,280.000000,8.108820,3694.000000,550740.000000,1.299944,176.039636
2006, 澎湖縣,166.000000,18.085744,527.000000,75799.000000,0.686064,161.618337
2006, 基隆市,210.000000,5.375890,1553.000000,169359.000000,0.480158,115.288632
2006, 新竹市,126.000000,3.191837,1460.000000,106356.000000,0.467347,76.763623
2006, 嘉義市,38.000000,1.395192,1319.000000,159962.000000,0.603540,129.944760
2006, 金門縣,66.000000,8.628466,614.000000,22650.000000,0.945022,43.225191
2006, 連江縣,17.000000,17.371756,36.000000,-,0.430571,-
2007, 總計,14851.000000,6.468668,108745.000000,11691062.000000,0.574528,114.075835
2007, 臺灣地區,13322.000000,5.825896,107823.000000,11668054.000000,0.572028,114.731256
2007, 新北市,1828.000000,4.813040,12564.000000,1374416.000000,0.398643,114.234800
2007, 臺北市,1597.000000,6.073932,12476.000000,869137.000000,0.565370,68.384830
2007, 桃園市,713.000000,3.684815,7147.000000,588732.000000,0.463827,88.133533
2007, 臺中市,1503.000000,5.765703,10413.000000,1441808.000000,0.495520,164.158943
2007, 臺南市,915.000000,4.892889,7280.000000,1101035.000000,0.465954,156.864938
2007, 高雄市,1235.000000,4.466759,15440.000000,2192970.000000,0.669664,148.610443
2007, 宜蘭縣,382.000000,8.297169,3956.000000,299350.000000,1.040084,76.677766
2007, 新竹縣,212.000000,4.275737,1504.000000,284434.000000,0.382337,197.935978
2007, 苗栗縣,377.000000,6.730184,1044.000000,108782.000000,0.226497,56.968840
2007, 彰化縣,1061.000000,8.072407,3076.000000,319538.000000,0.285640,107.952027
2007, 南投縣,341.000000,6.389154,4597.000000,209539.000000,1.038276,52.352030
2007, 雲林縣,897.000000,12.360956,4131.000000,335756.000000,0.684938,84.958502
2007, 嘉義縣,497.000000,9.014320,3447.000000,608662.000000,0.744213,192.736542
2007, 屏東縣,517.000000,5.811842,4347.000000,330157.000000,0.586976,95.920105
2007, 臺東縣,416.000000,17.803646,5215.000000,164897.000000,2.692558,32.428122
2007, 花蓮縣,292.000000,8.505631,6154.000000,856477.000000,2.162090,173.939277
2007, 澎湖縣,185.000000,20.023812,571.000000,56378.000000,0.732822,102.692168
2007, 基隆市,238.000000,6.096358,1615.000000,279797.000000,0.495606,176.639520
2007, 新竹市,76.000000,1.904595,1493.000000,135608.000000,0.470752,91.844226
2007, 嘉義市,41.000000,1.501419,1353.000000,110581.000000,0.614606,82.770210
2007, 金門縣,62.000000,7.602977,886.000000,23008.000000,1.266583,30.677333
2007, 連江縣,15.000000,15.081440,36.000000,-,0.423529,-
2008, 總計,15370.000000,6.671867,131238.000000,15512030.000000,0.685967,129.276074
2008, 臺灣地區,13904.000000,6.060314,130026.000000,15431496.000000,0.682521,129.758763
2008, 新北市,1880.000000,4.903840,15330.000000,2181671.000000,0.478309,156.425826
2008, 臺北市,1462.000000,5.573934,13666.000000,1080351.000000,0.617042,82.652513
2008, 桃園市,714.000000,3.645301,8534.000000,936166.000000,0.542689,119.401314
2008, 臺中市,1527.000000,5.819200,11361.000000,1398124.000000,0.532595,128.421420
2008, 臺南市,1100.000000,5.872915,11362.000000,2286201.000000,0.720811,245.274220
2008, 高雄市,1356.000000,4.896979,20786.000000,2439316.000000,0.893755,134.672114
2008, 宜蘭縣,303.000000,6.574066,4468.000000,313787.000000,1.162703,74.498338
2008, 新竹縣,275.000000,5.464231,2134.000000,666230.000000,0.530864,366.261682
2008, 苗栗縣,422.000000,7.530376,1461.000000,97543.000000,0.314306,77.878643
2008, 彰化縣,899.000000,6.847254,3494.000000,348048.000000,0.322539,105.950685
2008, 南投縣,319.000000,5.999026,4840.000000,173564.000000,1.087687,36.783724
2008, 雲林縣,887.000000,12.256900,4479.000000,461616.000000,0.740223,107.227875
2008, 嘉義縣,497.000000,9.057261,3610.000000,420105.000000,0.777602,119.060507
2008, 屏東縣,715.000000,8.080575,6313.000000,424817.000000,0.850314,79.703002
2008, 臺東縣,604.000000,26.051439,3898.000000,231429.000000,2.013378,50.790958
2008, 花蓮縣,340.000000,9.958030,7770.000000,1290831.000000,2.721932,185.410945
2008, 澎湖縣,187.000000,20.041154,754.000000,71636.000000,0.950376,108.129811
2008, 基隆市,252.000000,6.478499,1238.000000,152246.000000,0.377801,106.726954
